site_ID,LAT,LONG,ELEV,IGBP,Climate_class,MAP,source,estimate_Ts,year_removed,NEE,FC,TA,TS,SWC,SW_IN,USTAR,RH,VPD,comment,gStart,gEnd,SWC_use,netrad_column,estimate_ts_method,ts_col,ts_linear_domain,growing_year_start,ts_source
US-Uaf,64.8663,-147.8555,155,ENF,Dwc,263,AmeriFlux_BASE,NO,,FC_1_1_1 + SC_PI_1,,TA_PI_F_1_1_1,TS_PI_F_1_1_1,SWC_PI_F_1_1_1,SW_IN_PI_F,USTAR_1_1_1,RH_1_1_1,,,,,YES,,,TS_measured,,,sensor
CA-Ca3,49.5346,-124.9004,171,ENF,Cfb,1676,AmeriFlux_BASE,NO,,FC + SC,,T_SONIC,TS_1_1_1,SWC_PI_F_1,SW_IN_1_1_2,USTAR,RH_PI_F_1,,,,,NO,,,TS_measured,,,sensor
CA-Cbo,44.3167,-79.9333,120,DBF,Dfb,876.34,AmeriFlux_BASE,NO,,FC + SC,,TA_2_1_1,TS_2_1_1,SWC_2_1_1,PPFD_IN_1_2_1,USTAR,RH_1_3_1,,,,,YES,,,TS_linear,ac,,sensor
US-Ha1,42.5378,-72.1715,340,DBF,Dfb,1071,AmeriFlux_BASE,YES,,FC_1_1_1  +  SC,,TA_PI_F_1_1_1,TS_PI_1_1_A,SWC_7_1_1,PPFD_IN_PI_F_1_1_1,USTAR,RH_PI_F_1_1_1,,,,,NO,,,TS_measured,,,reconstructed
US-Ha2,42.5393,-72.1779,360,ENF,Dfb,1071,AmeriFlux_BASE,NO,,FC_A_1_1,,TA_A_1_1,TS_PI_1,,PPFD_IN_A_1_1,USTAR_A_1_1,RH_A_1_1,,,,,NO,,,TS_linear,ac,,sensor
US-Var,38.4133,-120.9508,129,GRA,Csa,559,AmeriFlux_BASE,NO,,FC,,TA_PI_F,TS_PI_1_1_A,SWC_PI_F_1_1_A,SW_IN_1_1_2,USTAR,RH_PI_F,,,,,YES,,,TS_measured,,,sensor
US-Ton,38.4309,-120.966,177,WSA,Csa,559,AmeriFlux_BASE,NO,,FC_1_1_1 + SC_1_1_1,,TA_PI_F_1_1_1,TS_PI_F_1_1_A,SWC_PI_F_1_1_A,SW_IN_1_1_1,USTAR_1_1_1,RH_PI_F_1_1_1,,,,,YES,,,TS_measured,,,sensor
US-Los,46.0827,-89.9792,480,WET,Dfb,828,AmeriFlux_BASE,YES,"2007, 2008, 2010",NEE_PI,FC_1_1_1,TA_PI_F_1_1_1,TS_1_1_1,,SW_IN_1_1_1,USTAR_PI_F_1_1_1,,VPD_PI_F_1_1_1,"two high ER when TS = 0 in the three years (2007, 2008, 2010) and these years are only measured for a few months, distinct from other years; TA seems abnormal in these years.",,,NO,NETRAD_1_1_1,NETRAD,TS_measured,,,reconstructed
US-Wkg,31.7365,-109.9419,1531,GRA,Bsk,407,AmeriFlux_BASE,NO,,FC,,TA_1_1_1,TS_1_1_1,SWC_1_1_1,SW_IN,USTAR,RH_1_1_1,,,,,YES,,,TS_measured,,,sensor
US-SRM,31.8214,-110.8661,1120,WSA,Bsk,380,AmeriFlux_BASE,NO,,FC,,TA_1_1_1,TS_PI_1_1_A,SWC_PI_1_1_A,SW_IN,USTAR,RH_1_1_1,,,,,YES,,,TS_measured,,,sensor
US-CMW,31.6637,-110.1777,1199,DBF,Bsh,288,AmeriFlux_BASE,NO,,NEE_PI,FC,TA_1_1_1,TS_1_1_1,SWC_1_6_1,SW_IN,USTAR,RH_1_1_1,,,,,YES,,,TS_linear,ac,,sensor
US-Ho1,45.2041,-68.7402,60,ENF,Dfb,1070,AmeriFlux_BASE,YES,,NEE_PI_1_1_1,FC_1_1_1,T_SONIC_1_1_1,TS_2_1_1,,PPFD_IN_1_1_1,USTAR_1_1_1,,VPD_PI_1_1_1,,,,NO,NETRAD_2_1_1,NETRAD,TS_measured,,,reconstructed
US-Ho2,45.2091,-68.747,61,ENF,Dfb,1064,AmeriFlux_BASE,YES,,NEE_PI_1_1_1,FC_1_1_1,T_SONIC_1_1_1,TS_1_1_1,,PPFD_IN_1_1_1,USTAR_1_1_1,,VPD_PI_1_1_1,,,,NO,,,TS_measured,,,reconstructed
US-GLE,41.3665,-106.2399,3197,ENF,Dfc,1200,AmeriFlux_BASE,NO,2007:2009,FC_1_1_1 + SC_1_1_1,,TA_PI_F_1_1_1,TS_1_1_2,SWC_1_1_1,SW_IN_PI_F_1_1_1,USTAR_PI_F_1_1_1,,VPD_PI_1_1_1,TS measurement may has problem before July; 2007:2009 beetle attack occurred,182,,NO,,,TS_linear,ac,,sensor
US-Me2,44.4526,-121.5589,1253,ENF,Csb,523,AmeriFlux_BASE,NO,2013:2014,NEE_PI_F,FC,TA_1_1_1,TS_1_1_1,SWC_1_1_1,SW_IN,USTAR,RH,,2013-2014 too noise data,,,NO,,,TS_measured,,,sensor
